time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.185132446289062500e+02,0.000000000000000000e+00
4.000000000000000083e-02,-1.716613769531250000e-05,1.468658447265625000e-04,-1.671612262725830078e-03,4.683430306613445282e-03,2.327774884179234505e-03,6.344900466501712799e-04,1.496424665674567223e-03,1.402727211825549603e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.648381347656250000e+02,0.000000000000000000e+00
5.999999999999999778e-02,-3.398895263671875000e-03,1.029968261718750000e-04,-5.084693431854248047e-03,1.619450189173221588e-02,8.160872384905815125e-03,3.138038096949458122e-03,3.236306132748723030e-03,2.156906295567750931e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895339965820312500e+02,0.000000000000000000e+00
8.000000000000000167e-02,-8.071899414062500000e-03,1.077651977539062500e-03,-1.059269905090332031e-02,2.928899787366390228e-02,1.936985552310943604e-02,7.019701413810253143e-03,9.139994159340858459e-03,5.777418613433837891e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.724083251953125000e+02,0.000000000000000000e+00
1.000000000000000056e-01,-1.270484924316406250e-02,1.583099365234375000e-03,-1.558256149291992188e-02,3.314600884914398193e-02,2.306322939693927765e-02,1.571532152593135834e-02,1.640455797314643860e-02,4.601890221238136292e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.791628417968750000e+02,0.000000000000000000e+00
1.199999999999999956e-01,-1.600646972656250000e-02,2.050399780273437500e-03,-2.024745941162109375e-02,3.917283564805984497e-02,2.549474313855171204e-02,2.209825254976749420e-02,2.306133694946765900e-02,4.559820983558893204e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.741095886230468750e+02,0.000000000000000000e+00
1.400000000000000133e-01,-1.743888854980468750e-02,2.473831176757812500e-03,-2.405756711959838867e-02,4.248407483100891113e-02,2.587168663740158081e-02,2.738500200212001801e-02,2.862952277064323425e-02,5.038873758167028427e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.716025695800781250e+02,0.000000000000000000e+00
1.600000000000000033e-01,-1.722908020019531250e-02,2.689361572265625000e-03,-2.714174985885620117e-02,3.919717296957969666e-02,2.513462677597999573e-02,3.203067556023597717e-02,3.384215757250785828e-02,4.792169667780399323e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.659943542480468750e+02,0.000000000000000000e+00
1.799999999999999933e-01,-1.597976684570312500e-02,2.698898315429687500e-03,-2.927511930465698242e-02,3.219730406999588013e-02,2.413744665682315826e-02,3.784597665071487427e-02,3.855229914188385010e-02,4.864109214395284653e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737408142089843750e+02,0.000000000000000000e+00
2.000000000000000111e-01,-1.438522338867187500e-02,2.517700195312500000e-03,-3.032183647155761719e-02,2.403032965958118439e-02,2.326061576604843140e-02,4.383468627929687500e-02,4.309513419866561890e-02,4.946075845509767532e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.941930541992187500e+02,0.000000000000000000e+00
2.200000000000000011e-01,-1.277923583984375000e-02,2.218246459960937500e-03,-3.008198738098144531e-02,1.680146530270576477e-02,2.224824018776416779e-02,4.883215948939323425e-02,4.737864434719085693e-02,5.086191464215517044e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.832131042480468750e+02,0.000000000000000000e+00
2.399999999999999911e-01,-1.126861572265625000e-02,1.926422119140625000e-03,-2.889078855514526367e-02,1.317457202821969986e-02,2.119303122162818909e-02,4.981776326894760132e-02,5.013483390212059021e-02,5.654690321534872055e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.927724304199218750e+02,0.000000000000000000e+00
2.600000000000000089e-01,-9.790420532226562500e-03,1.873016357421875000e-03,-2.727901935577392578e-02,1.387958880513906479e-02,2.043830417096614838e-02,4.248804971575737000e-02,4.935034364461898804e-02,5.591845139861106873e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.603915710449218750e+02,0.000000000000000000e+00
2.800000000000000266e-01,-8.495330810546875000e-03,2.159118652343750000e-03,-2.579271793365478516e-02,1.685813255608081818e-02,1.949178613722324371e-02,3.011126443743705750e-02,4.595049098134040833e-02,5.548912100493907928e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.828414306640625000e+02,0.000000000000000000e+00
2.999999999999999889e-01,-7.223129272460937500e-03,2.681732177734375000e-03,-2.430611848831176758e-02,1.807306520640850067e-02,1.783044822514057159e-02,1.821430772542953491e-02,4.200912639498710632e-02,5.478807725012302399e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.746334228515625000e+02,0.000000000000000000e+00
3.200000000000000067e-01,-5.575180053710937500e-03,3.606796264648437500e-03,-2.312862873077392578e-02,1.825682073831558228e-02,1.673729345202445984e-02,1.026452239602804184e-02,3.853078559041023254e-02,5.674274172633886337e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.580065917968750000e+02,0.000000000000000000e+00
3.400000000000000244e-01,-3.295898437500000000e-03,5.523681640625000000e-03,-2.297598123550415039e-02,1.923612505197525024e-02,1.666690036654472351e-02,1.091825217008590698e-02,3.553061187267303467e-02,5.874287337064743042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.762244873046875000e+02,0.000000000000000000e+00
3.599999999999999867e-01,3.738403320312500000e-04,8.733749389648437500e-03,-2.343517541885375977e-02,1.833500899374485016e-02,1.723827049136161804e-02,1.727301068603992462e-02,3.353082388639450073e-02,5.541475955396890640e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.614106750488281250e+02,0.000000000000000000e+00
3.800000000000000044e-01,5.214691162109375000e-03,1.283264160156250000e-02,-2.402055263519287109e-02,1.319265644997358322e-02,1.856903359293937683e-02,2.483692578971385956e-02,3.486362844705581665e-02,5.612260662019252777e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.664604797363281250e+02,0.000000000000000000e+00
4.000000000000000222e-01,9.506225585937500000e-03,1.656150817871093750e-02,-2.434182167053222656e-02,1.415176503360271454e-02,1.949909143149852753e-02,3.235949575901031494e-02,4.608152061700820923e-02,5.741806235164403915e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.854743347167968750e+02,0.000000000000000000e+00
4.199999999999999845e-01,1.061439514160156250e-02,1.828193664550781250e-02,-2.431124448776245117e-02,2.378099039196968079e-02,1.945498958230018616e-02,3.659610822796821594e-02,5.560123175382614136e-02,6.115164607763290405e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.765385131835937500e+02,0.000000000000000000e+00
4.400000000000000022e-01,1.007461547851562500e-02,1.930999755859375000e-02,-2.519065141677856445e-02,2.459906414151191711e-02,1.900833286345005035e-02,3.599110618233680725e-02,5.551719665527343750e-02,6.335864774882793427e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.935434265136718750e+02,0.000000000000000000e+00
4.600000000000000200e-01,8.277893066406250000e-03,2.135658264160156250e-02,-2.487075328826904297e-02,2.271438576281070709e-02,1.806566119194030762e-02,3.591636195778846741e-02,5.595067888498306274e-02,6.515215151011943817e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.687352600097656250e+02,0.000000000000000000e+00
4.799999999999999822e-01,4.089355468750000000e-03,2.439689636230468750e-02,-2.323424816131591797e-02,1.375881861895322800e-02,1.802095957100391388e-02,3.788103535771369934e-02,5.512596666812896729e-02,6.716263014823198318e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.860381164550781250e+02,0.000000000000000000e+00
5.000000000000000000e-01,-1.054763793945312500e-03,3.022575378417968750e-02,-2.241069078445434570e-02,2.191300503909587860e-02,2.043772861361503601e-02,4.039882495999336243e-02,5.555692687630653381e-02,3.497176244854927063e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.847933349609375000e+02,0.000000000000000000e+00
5.200000000000000178e-01,-6.792068481445312500e-03,3.490066528320312500e-02,-1.985758543014526367e-02,2.238662727177143097e-02,3.175116702914237976e-02,4.423294216394424438e-02,5.587949231266975403e-02,4.970523342490196228e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.583414916992187500e+02,0.000000000000000000e+00
5.400000000000000355e-01,-1.111221313476562500e-02,3.764533996582031250e-02,-1.724946498870849609e-02,2.223702333867549896e-02,4.087979346513748169e-02,4.834422096610069275e-02,5.566207692027091980e-02,5.521608144044876099e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.719637145996093750e+02,0.000000000000000000e+00
5.600000000000000533e-01,-1.334190368652343750e-02,4.034042358398437500e-02,-1.442980766296386719e-02,2.883779443800449371e-02,4.799661412835121155e-02,5.117665603756904602e-02,5.568424612283706665e-02,6.642138212919235229e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.518853149414062500e+02,0.000000000000000000e+00
