time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.690668945312500000e+02,0.000000000000000000e+00
4.000000000000000083e-02,-7.820129394531250000e-05,-5.722045898437500000e-05,-2.057969570159912109e-03,2.929687732830643654e-03,1.599840936250984669e-03,1.829256420023739338e-03,1.426979550160467625e-03,1.566304476000368595e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.497005004882812500e+02,0.000000000000000000e+00
5.999999999999999778e-02,-3.389358520507812500e-03,3.662109375000000000e-04,-5.764663219451904297e-03,1.219728030264377594e-02,7.711925078183412552e-03,6.448577623814344406e-03,3.110498189926147461e-03,3.735400969162583351e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.306667480468750000e+02,0.000000000000000000e+00
8.000000000000000167e-02,-8.193969726562500000e-03,1.976013183593750000e-03,-1.043748855590820312e-02,2.063539065420627594e-02,1.152304746210575104e-02,9.744811803102493286e-03,8.743475191295146942e-03,5.271547939628362656e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.761858520507812500e+02,0.000000000000000000e+00
1.000000000000000056e-01,-1.287460327148437500e-02,3.171920776367187500e-03,-1.358842849731445312e-02,2.081943489611148834e-02,1.455034967511892319e-02,1.234203670173883438e-02,1.618044264614582062e-02,4.934458527714014053e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.604039306640625000e+02,0.000000000000000000e+00
1.199999999999999956e-01,-1.607513427734375000e-02,4.171371459960937500e-03,-1.622092723846435547e-02,2.037961594760417938e-02,1.810624822974205017e-02,1.377782411873340607e-02,2.266896702349185944e-02,4.689035471528768539e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.385960693359375000e+02,7.812500000000000000e-03
1.400000000000000133e-01,-1.731872558593750000e-02,4.631042480468750000e-03,-1.818048954010009766e-02,1.902425102889537811e-02,2.060651779174804688e-02,1.479693688452243805e-02,2.801783941686153412e-02,4.673903807997703552e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.761600952148437500e+02,0.000000000000000000e+00
1.600000000000000033e-01,-1.702880859375000000e-02,4.503250122070312500e-03,-1.923519372940063477e-02,1.826987415552139282e-02,2.255288697779178619e-02,1.634819060564041138e-02,3.319700807332992554e-02,4.763275384902954102e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.567301635742187500e+02,3.906250000000000000e-03
1.799999999999999933e-01,-1.571464538574218750e-02,3.988265991210937500e-03,-1.928246021270751953e-02,1.382795907557010651e-02,2.300934493541717529e-02,1.792019419372081757e-02,3.791400417685508728e-02,4.877310711890459061e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.422340087890625000e+02,1.171875000000000000e-02
2.000000000000000111e-01,-1.398468017578125000e-02,3.446578979492187500e-03,-1.932340860366821289e-02,9.814341552555561066e-03,2.285978570580482483e-02,2.042813226580619812e-02,4.250958934426307678e-02,4.710825625807046890e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.452947387695312500e+02,7.812500000000000000e-03
2.200000000000000011e-01,-1.227188110351562500e-02,3.261566162109375000e-03,-2.039325237274169922e-02,7.405155804008245468e-03,2.279815077781677246e-02,2.415766566991806030e-02,4.646606370806694031e-02,4.638392478227615356e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.553124389648437500e+02,0.000000000000000000e+00
2.399999999999999911e-01,-1.084899902343750000e-02,3.534317016601562500e-03,-2.247077226638793945e-02,6.137602496892213821e-03,2.249629423022270203e-02,2.716284617781639099e-02,4.833141714334487915e-02,4.491125699132680893e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.526989135742187500e+02,0.000000000000000000e+00
2.600000000000000089e-01,-9.578704833984375000e-03,4.268646240234375000e-03,-2.454251050949096680e-02,1.530124805867671967e-02,2.233458869159221649e-02,2.441619336605072021e-02,4.798782244324684143e-02,4.529535304754972458e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593587036132812500e+02,0.000000000000000000e+00
2.800000000000000266e-01,-8.012771606445312500e-03,5.113601684570312500e-03,-2.558565139770507812e-02,2.576366625726222992e-02,2.218681387603282928e-02,1.795161142945289612e-02,4.562070593237876892e-02,4.553251899778842926e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.304750976562500000e+02,0.000000000000000000e+00
