com_pos_x,com_pos_y,com_pos_z,com_quat_w,com_quat_x,com_quat_y,com_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15
-0.0588991,-0.00144444,0.377793,0.000941836,-0.000282896,0.00507621,0.999987,-0.00827642,1.02468,-1.79535,0.00822189,1.02249,-1.79259,-0.00813608,-1.04512,1.78846,0.00835223,-1.04912,1.79229,0.00016969,2.37746e-05,-1.15743e-05,-0.000181753
-0.0589972,-0.00143487,0.373023,0.000920606,-0.000585423,0.00492851,0.999987,-0.00869106,1.04426,-1.82206,0.00856464,1.04124,-1.81868,-0.0084259,-1.06453,1.81614,0.0091132,-1.06947,1.82056,0.000169633,2.37289e-05,-1.16177e-05,-0.000181703
-0.0585487,-0.00137641,0.36618,0.000966308,-0.000755757,0.00467876,0.999988,-0.00878792,1.07296,-1.85934,0.00886448,1.06962,-1.85641,-0.00914801,-1.08972,1.85388,0.00879123,-1.09491,1.85712,0.000169549,2.36491e-05,-1.19791e-05,-0.000182003
-0.0568957,-0.00125286,0.358322,0.000886844,-0.000394702,0.00431743,0.99999,-0.00858345,1.10935,-1.90282,0.0094622,1.1053,-1.90027,-0.00994571,-1.11608,1.89612,0.00835865,-1.12171,1.89807,0.000169456,2.35467e-05,-1.24593e-05,-0.000182526
-0.0537221,-0.00106616,0.350065,0.000733094,0.000588105,0.00385851,0.999992,-0.00825434,1.15295,-1.94888,0.0102339,1.14743,-1.94668,-0.0109262,-1.13924,1.93881,0.00775642,-1.14574,1.93898,0.00016934,2.33871e-05,-1.30551e-05,-0.000183139
-0.0488062,-0.000829503,0.341955,0.000477998,0.0020766,0.00332606,0.999992,-0.00774223,1.20274,-1.99367,0.0112167,1.19519,-1.99205,-0.0119954,-1.15666,1.97946,0.00708181,-1.16397,1.9774,0.000169149,2.31863e-05,-1.36704e-05,-0.000183751
-0.0424673,-0.000557077,0.334421,0.000146897,0.00363608,0.00283905,0.999989,-0.00725486,1.25323,-2.03407,0.0121683,1.24365,-2.03211,-0.0130101,-1.16858,2.01686,0.00646218,-1.17542,2.01251,0.000168803,2.28511e-05,-1.3939e-05,-0.000184025
-0.0353741,-0.000262376,0.327854,-0.000215898,0.00478253,0.0025355,0.999985,-0.00704182,1.30023,-2.06739,0.0127987,1.28934,-2.06497,-0.0137883,-1.1737,2.04962,0.00604754,-1.17996,2.04331,0.000168667,2.27114e-05,-1.40538e-05,-0.000184146
-0.0280963,3.94723e-05,0.322375,-0.00059954,0.00520778,0.00243286,0.999983,-0.00709199,1.34348,-2.09264,0.013093,1.33132,-2.08919,-0.0142503,-1.17311,2.07781,0.00591469,-1.17865,2.06993,0.000168655,2.26924e-05,-1.40482e-05,-0.000184143
-0.0210827,0.000349114,0.317946,-0.000986591,0.00472805,0.00241347,0.999985,-0.00727087,1.38157,-2.10984,0.0131771,1.3681,-2.10507,-0.0146073,-1.16855,2.10254,0.0058635,-1.17309,2.09295,0.000168743,2.27711e-05,-1.39472e-05,-0.000184046
